Company_ID,Company_Name,Sectors,Trading_Codes,Scrip_Codes,Websites,Urls
DSE-1-8769,aamra networks limited,IT Sector,AAMRANET, 22649, http://www.aamra.com.bd,https://www.dsebd.org/displayCompany.php?name=AAMRANET
DSE-2-4563,aamra technologies limited,IT Sector,AAMRATECH, 22647, http://www.aamra.com.bd,https://www.dsebd.org/displayCompany.php?name=AAMRATECH
DSE-3-6281,AB Bank 1st Mutual fund,Mutual Funds,ABB1STMF, 12189, http://www.abb1stmf.com/,https://www.dsebd.org/displayCompany.php?name=ABB1STMF
DSE-4-3282,AB Bank Limited,Bank,ABBANK, 11101, http://www.abbl.com,https://www.dsebd.org/displayCompany.php?name=ABBANK
DSE-5-3538,AB Bank Perpetual Bond,Corporate Bond,ABBLPBOND, 26013, ,https://www.dsebd.org/displayCompany.php?name=ABBLPBOND
DSE-6-9574,Aman Cotton Fibrous Limited,Textile,ACFL, 17477, https://www.amancotton.com,https://www.dsebd.org/displayCompany.php?name=ACFL
DSE-7-5078,ACI  Limited,Pharmaceuticals & Chemicals,ACI, 18455, http://www.aci-bd.com,https://www.dsebd.org/displayCompany.php?name=ACI
DSE-8-5070,ACI Formulations Limited,Pharmaceuticals & Chemicals,ACIFORMULA, 18480, http://www.aci-bd.com/acifl/,https://www.dsebd.org/displayCompany.php?name=ACIFORMULA
DSE-9-7969,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,ACMELAB, 18491, http://www.acmeglobal.com,https://www.dsebd.org/displayCompany.php?name=ACMELAB
DSE-10-4746,ACME Pesticides Limited,Pharmaceuticals & Chemicals,ACMEPL, 18496, http://www.acmepesticides.com,https://www.dsebd.org/displayCompany.php?name=ACMEPL
DSE-11-3637,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,ACTIVEFINE, 18483, http://www.afchem.com,https://www.dsebd.org/displayCompany.php?name=ACTIVEFINE
DSE-12-6405,ADN Telecom Limited,IT Sector,ADNTEL, 22651, http://www.adntel.com.bd,https://www.dsebd.org/displayCompany.php?name=ADNTEL
DSE-13-3157,Advent Pharma Limited,Pharmaceuticals & Chemicals,ADVENT, 18492, http://www.adventpharmabd.com,https://www.dsebd.org/displayCompany.php?name=ADVENT
DSE-14-8495,AFC Agro Biotech Ltd.,Pharmaceuticals & Chemicals,AFCAGRO, 18489, http://www.afcagrobiotech.com,https://www.dsebd.org/displayCompany.php?name=AFCAGRO
DSE-15-5584,Aftab Automobiles Limited,Engineering,AFTABAUTO, 13201, http://aftabautomobiles.com,https://www.dsebd.org/displayCompany.php?name=AFTABAUTO
DSE-16-9966,Agni Systems Ltd.,IT Sector,AGNISYSL, 22645, http://www.agni.com,https://www.dsebd.org/displayCompany.php?name=AGNISYSL
DSE-17-8853,Agrani Insurance Co. Ltd.,Insurance,AGRANINS, 25722, http://www.agraniinsurance.com,https://www.dsebd.org/displayCompany.php?name=AGRANINS
