Company_ID,Date,Sponsor,Govt,Institute,Foreign,Public
DSE-1-8769,"Jun 30, 2022",33.04,0.00,28.73,0.00,38.23
DSE-1-8769,"Apr 30, 2023",33.04,0.00,20.15,0.00,46.81
DSE-1-8769,"May 31, 2023",33.04,0.00,21.69,0.00,45.27
DSE-2-4563,"Jun 30, 2022",30.01,0.00,27.96,0.00,42.03
DSE-2-4563,"Apr 30, 2023",30.01,0.00,35.34,0.00,34.65
DSE-2-4563,"May 31, 2023",30.01,0.00,33.25,0.00,36.74
DSE-3-6281,"Jun 30, 2022",15.51,0.00,21.56,0.00,62.93
DSE-3-6281,"Apr 30, 2023",15.51,0.00,14.40,0.00,70.09
DSE-3-6281,"May 31, 2023",15.51,0.00,14.52,0.00,69.97
DSE-4-3282,"Dec 31, 2021",31.67,0.57,23.49,0.88,43.39
DSE-4-3282,"Apr 30, 2023",31.67,0.57,22.83,0.79,44.14
DSE-4-3282,"May 31, 2023",31.67,0.57,22.82,0.79,44.15
DSE-5-3538,"Dec 31, 2022",0.00,0.00,0.00,0.00,0.00
DSE-6-9574,"Jun 30, 2022",65.06,0.00,10.66,0.11,24.17
DSE-6-9574,"Apr 30, 2023",49.58,0.00,14.25,0.10,36.07
DSE-6-9574,"May 31, 2023",49.58,0.00,14.25,0.10,36.07
DSE-7-5078,"Jun 30, 2022",35.28,0.00,40.75,0.00,23.97
DSE-7-5078,"Apr 30, 2023",36.07,0.00,41.07,0.00,22.86
DSE-7-5078,"May 31, 2023",36.07,0.00,41.07,0.00,22.86
DSE-8-5070,"Jun 30, 2022",66.02,0.00,17.96,0.00,16.02
DSE-8-5070,"Apr 30, 2023",66.02,0.00,20.61,0.00,13.37
DSE-8-5070,"May 31, 2023",66.02,0.00,19.94,0.00,14.04
DSE-9-7969,"Jun 30, 2022",39.83,0.00,31.05,0.13,28.99
DSE-9-7969,"Apr 30, 2023",39.88,0.00,30.32,0.14,29.66
DSE-9-7969,"May 31, 2023",39.88,0.00,30.04,0.14,29.94
DSE-10-4746,"Jun 30, 2022",31.80,0.00,27.23,0.01,40.96
DSE-10-4746,"Apr 30, 2023",31.80,0.00,25.25,0.00,42.95
DSE-10-4746,"May 31, 2023",31.80,0.00,25.25,0.00,42.95
DSE-11-3637,"Jun 30, 2022",12.04,0.00,25.13,3.11,59.72
DSE-11-3637,"Apr 30, 2023",12.04,0.00,21.84,0.27,65.85
DSE-11-3637,"May 31, 2023",12.04,0.00,21.84,0.27,65.85
DSE-12-6405,"Jun 30, 2022",51.56,0.00,16.57,1.99,29.88
DSE-12-6405,"Apr 30, 2023",44.91,0.00,16.71,1.99,36.39
DSE-12-6405,"May 31, 2023",44.91,0.00,18.74,1.99,34.36
DSE-13-3157,"Jun 30, 2022",30.02,0.00,23.55,0.00,46.43
DSE-13-3157,"Apr 30, 2023",30.02,0.00,18.71,0.00,51.27
DSE-13-3157,"May 31, 2023",30.02,0.00,25.60,0.00,44.38
DSE-14-8495,"Jun 30, 2022",30.29,0.00,36.51,0.00,33.20
DSE-14-8495,"Apr 30, 2023",27.84,0.00,35.96,0.00,36.20
DSE-14-8495,"May 31, 2023",27.84,0.00,35.96,0.00,36.20
DSE-15-5584,"Jun 30, 2022",30.00,0.00,36.73,0.00,33.27
DSE-15-5584,"Apr 30, 2023",29.32,0.00,36.58,0.00,34.10
DSE-15-5584,"May 31, 2023",29.32,0.00,37.26,0.00,33.42
DSE-16-9966,"Jun 30, 2022",32.76,0.00,10.91,0.00,56.33
DSE-16-9966,"Apr 30, 2023",32.76,0.00,10.06,0.00,57.18
DSE-16-9966,"May 31, 2023",32.76,0.00,7.73,0.00,59.51
DSE-17-8853,"Dec 31, 2021",30.15,0.00,14.12,0.00,55.73
DSE-17-8853,"Apr 30, 2023",30.15,0.00,16.02,0.00,53.83
DSE-17-8853,"May 31, 2023",30.15,0.00,17.47,0.00,52.38
DSE-18-7188,"Mar 31, 2022",10.00,0.00,52.60,0.00,37.40
DSE-18-7188,"Apr 30, 2023",10.00,0.00,53.25,0.00,36.75
DSE-18-7188,"May 31, 2023",10.00,0.00,53.32,0.00,36.68
DSE-19-2140,"Dec 31, 2020",0.00,0.00,0.00,0.00,0.00
DSE-20-8737,"Jun 30, 2022",33.35,0.00,11.22,0.00,55.43
DSE-20-8737,"Apr 30, 2023",33.35,0.00,14.61,0.00,52.04
DSE-20-8737,"May 31, 2023",33.35,0.00,25.09,0.00,41.56
DSE-21-5924,"Jun 30, 2022",25.63,0.01,19.96,0.00,54.40
DSE-21-5924,"Apr 30, 2023",25.63,0.01,16.46,0.00,57.90
DSE-21-5924,"May 31, 2023",25.63,0.01,16.67,0.00,57.69
DSE-22-4893,"Dec 31, 2021",41.87,0.00,29.35,0.52,28.26
DSE-22-4893,"Apr 30, 2023",42.37,0.00,30.38,0.45,26.80
DSE-22-4893,"May 31, 2023",45.46,0.00,27.42,0.45,26.67
DSE-23-3990,"Jun 30, 2022",30.46,0.00,7.80,0.00,61.74
DSE-23-3990,"Apr 30, 2023",30.46,0.00,4.14,0.00,65.40
DSE-23-3990,"May 31, 2023",30.46,0.00,4.47,0.00,65.07
DSE-24-3465,"Jun 30, 2022",40.74,0.00,11.64,0.00,47.62
DSE-24-3465,"Apr 30, 2023",40.74,0.00,6.43,0.00,52.83
DSE-24-3465,"May 31, 2023",40.74,0.00,6.44,0.00,52.82
DSE-25-3754,"Jun 30, 2022",63.26,0.00,10.33,0.05,26.36
DSE-25-3754,"Apr 30, 2023",63.26,0.00,7.87,0.05,28.82
DSE-25-3754,"May 31, 2023",63.26,0.00,10.26,0.05,26.43
